Team,Wins,Losses
Los Angeles Dodgers,98,64
Philadelphia Phillies,95,67
New York Yankees,94,68
Milwaukee Brewers,93,69
San Diego Padres,93,69
Cleveland Guardians,92,69
Baltimore Orioles,91,71
Arizona Diamondbacks,89,73
Atlanta Braves,89,73
New York Mets,89,73
Houston Astros,88,73
Kansas City Royals,86,76
Detroit Tigers,86,76
Seattle Mariners,85,77
Chicago Cubs,83,79
St. Louis Cardinals,83,79
Minnesota Twins,82,80
Boston Red Sox,81,81
San Francisco Giants,80,82
Tampa Bay Rays,80,82
Texas Rangers,78,84
Cincinnati Reds,77,85
Pittsburgh Pirates,76,86
Toronto Blue Jays,74,88
Washington Nationals,71,91
Oakland Athletics,69,93
Los Angeles Angels,63,99
Miami Marlins,62,100
Colorado Rockies,61,101
Chicago White Sox,41,121
