Team,Wins,Losses
Cleveland Cavaliers,64,18
Boston Celtics,61,21
Houston Rockets,52,30
New York Knicks,51,31
Indiana Pacers,50,32
Los Angeles Lakers,50,32
Denver Nuggets,50,32
Los Angeles Clippers,50,32
Minnesota Timberwolves,49,33
Milwaukee Bucks,48,34
Golden State Warriors,48,34
Memphis Grizzlies,48,34
Detroit Pistons,44,38
Orlando Magic,41,41
Atlanta Hawks,40,42
Sacramento Kings,40,42
Chicago Bulls,39,43
Dallas Mavericks,39,43
Miami Heat,37,45
Phoenix Suns,36,46
Portland Trail Blazers,36,46
San Antonio Spurs,34,48
Toronto Raptors,30,52
Brooklyn Nets,26,56
Philadelphia 76ers,24,58
New Orleans Pelicans,21,61
Charlotte Hornets,19,63
Washington Wizards,18,64
Utah Jazz,17,65
